Year,loc,Type,TrialNumber,PlotNumber,col,row,rep,Entry,DH,DM,PHMean,TKW,GYH
2021,Jeldu,JL21FBNHP01,1,2,2,1,1,11,77,,105,39.6,8824.9158
2021,Jeldu,JL21FBNHP01,1,11,11,1,1,12,77,,110,39.2,9451.494
2021,Jeldu,JL21FBNHP01,1,18,18,1,1,13,79,,121.6666667,43.6,8145.2746
2021,Jeldu,JL21FBNHP01,1,9,9,1,1,14,72,,118.3333333,46.8,6694.512
2021,Jeldu,JL21FBNHP01,1,7,7,1,1,15,76,,110,46.4,8609.487
2021,Jeldu,JL21FBNHP01,1,10,10,1,1,16,74,,111.6666667,44.4,8916.8224
2021,Jeldu,JL21FBNHP01,1,16,16,1,1,17,76,,118.3333333,45.6,8927.226
2021,Jeldu,JL21FBNHP01,1,6,6,1,1,18,76,,105,39.2,7292.67
2021,Jeldu,JL21FBNHP01,1,5,5,1,1,19,79,,115,46.8,6867.4164
2021,Jeldu,JL21FBNHP01,1,12,12,1,1,20,78,,111.6666667,43.2,9118.2158
2021,Jeldu,JL21FBNHP01,1,32,9,2,2,1,85,,116.6666667,56,7856.5356
2021,Jeldu,JL21FBNHP01,1,38,3,2,2,2,92,,135.6666667,55.6,6744.8064
2021,Jeldu,JL21FBNHP01,1,29,12,2,2,3,79,,125.6666667,47.2,7709.2048
2021,Jeldu,JL21FBNHP01,1,35,6,2,2,4,92,,112.3333333,42,7891.5132
2021,Jeldu,JL21FBNHP01,1,34,7,2,2,5,78,,112.6666667,40.8,9397.073
2021,Jeldu,JL21FBNHP01,1,28,13,2,2,6,76,,113.3333333,41.2,
2021,Jeldu,JL21FBNHP01,1,21,20,2,2,7,85,,100,37.6,6296.3316
2021,Jeldu,JL21FBNHP01,1,40,1,2,2,8,77,,70.66666667,36.8,
2021,Jeldu,JL21FBNHP01,1,36,5,2,2,9,88,,86.66666667,36.8,4000.995
2021,Jeldu,JL21FBNHP01,1,22,19,2,2,10,76,,106,43.6,7129.9976
2021,Jeldu,JL21FBNHP01,1,30,11,2,2,11,81,,108.3333333,43.6,9610.1544
2021,Jeldu,JL21FBNHP01,1,31,10,2,2,12,79,,104.3333333,40.4,10221.806
2021,Jeldu,JL21FBNHP01,1,23,18,2,2,13,79,,110,47.6,9377.892
2021,Jeldu,JL21FBNHP01,1,33,8,2,2,14,73,,115,50.8,9241.2292
2021,Jeldu,JL21FBNHP01,1,39,2,2,2,15,79,,100,45.2,5148.6864
2021,Jeldu,JL21FBNHP01,1,24,17,2,2,16,74,,118.3333333,48.4,10951.757
2021,Jeldu,JL21FBNHP01,1,27,14,2,2,17,76,,105,48,8897.616
2021,Jeldu,JL21FBNHP01,1,26,15,2,2,18,77,,109.3333333,39.6,8087.4948
2021,Jeldu,JL21FBNHP01,1,37,4,2,2,19,81,,111.6666667,49.6,8233.8348
2021,Jeldu,JL21FBNHP01,1,25,16,2,2,20,80,,112.6666667,52,9795.132
2021,Jeldu,JL21FBNHP01,1,44,4,3,3,1,87,,126.3333333,63.2,9142.856
2021,Jeldu,JL21FBNHP01,1,49,9,3,3,2,87,,138.3333333,56.4,7925.2012
2021,Jeldu,JL21FBNHP01,1,41,1,3,3,3,81,,108.3333333,50.4,5279.7552
2021,Jeldu,JL21FBNHP01,1,51,11,3,3,4,88,,126.6666667,40,7484.352
2021,Jeldu,JL21FBNHP01,1,48,8,3,3,5,78,,116.6666667,45.2,9288.72
2021,Jeldu,JL21FBNHP01,1,45,5,3,3,6,79,,86,36.8,2329.138
2021,Jeldu,JL21FBNHP01,1,52,12,3,3,7,85,,106.6666667,37.2,8831.515
2021,Jeldu,JL21FBNHP01,1,59,19,3,3,8,77,,95,39.6,8200.8432
